quarter,hb_code,location_code,urban_rural,admission_type,specialty_name,episodes,length_of_episode,spells,hb_name,total_occupied_beds,pop
2021Q1,S08000016,S08000016,Rural,Emergency Inpatients,Urology,30,52,31,Borders,17052,115240
2021Q2,S08000016,S08000016,Rural,Emergency Inpatients,Urology,45,135,53,Borders,17745,115240
2021Q3,S08000016,S08000016,Rural,Emergency Inpatients,Urology,35,80,35,Borders,17316,115240
2021Q1,S08000016,S08000016,Rural,Emergency Inpatients,Clinical Oncology,0,0,0,Borders,17052,115240
2020Q1,S08000016,S08000016,Rural,Emergency Inpatients,Haematology,10,105,25,Borders,16272,115240
2020Q2,S08000016,S08000016,Rural,Emergency Inpatients,Haematology,10,28,25,Borders,10533,115240
2020Q3,S08000016,S08000016,Rural,Emergency Inpatients,Haematology,5,40,15,Borders,13436,115240
2020Q4,S08000016,S08000016,Rural,Emergency Inpatients,Haematology,10,21,25,Borders,15500,115240
2021Q1,S08000016,S08000016,Rural,Emergency Inpatients,Haematology,0,0,13,Borders,17052,115240
2021Q2,S08000016,S08000016,Rural,Emergency Inpatients,Haematology,5,18,20,Borders,17745,115240
2021Q3,S08000016,S08000016,Rural,Emergency Inpatients,Haematology,10,66,30,Borders,17316,115240
2020Q1,S08000017,Y146H,Rural,Emergency Inpatients,General Medicine,2236,2467,2322,Dumfries and Galloway,29251,148290
2020Q2,S08000017,Y146H,Rural,Emergency Inpatients,General Medicine,1861,1352,1860,Dumfries and Galloway,18643,148290
2020Q3,S08000017,Y146H,Rural,Emergency Inpatients,General Medicine,2220,2134,2236,Dumfries and Galloway,26026,148290
2020Q4,S08000017,Y146H,Rural,Emergency Inpatients,General Medicine,2179,2016,2211,Dumfries and Galloway,25679,148290
2021Q1,S08000017,Y146H,Rural,Emergency Inpatients,General Medicine,2199,2324,2220,Dumfries and Galloway,23420,148290
2021Q2,S08000017,Y146H,Rural,Emergency Inpatients,General Medicine,2362,2524,2378,Dumfries and Galloway,24302,148290
2021Q3,S08000017,Y146H,Rural,Emergency Inpatients,General Medicine,2197,2849,2217,Dumfries and Galloway,25834,148290
2020Q1,S08000017,Y146H,Rural,Emergency Inpatients,Cardiology,10,45,207,Dumfries and Galloway,29251,148290
2020Q2,S08000017,Y146H,Rural,Emergency Inpatients,Cardiology,5,11,186,Dumfries and Galloway,18643,148290
2020Q3,S08000017,Y146H,Rural,Emergency Inpatients,Cardiology,10,23,220,Dumfries and Galloway,26026,148290
2020Q4,S08000017,Y146H,Rural,Emergency Inpatients,Cardiology,15,29,225,Dumfries and Galloway,25679,148290
2021Q1,S08000017,Y146H,Rural,Emergency Inpatients,Cardiology,10,49,190,Dumfries and Galloway,23420,148290
2021Q2,S08000017,Y146H,Rural,Emergency Inpatients,Cardiology,10,20,237,Dumfries and Galloway,24302,148290
2021Q3,S08000017,Y146H,Rural,Emergency Inpatients,Cardiology,5,15,210,Dumfries and Galloway,25834,148290
2020Q2,S08000017,Y146H,Rural,Emergency Inpatients,Endocrinology & Diabetes,0,0,0,Dumfries and Galloway,18643,148290
2020Q3,S08000017,Y146H,Rural,Emergency Inpatients,Endocrinology & Diabetes,0,5,36,Dumfries and Galloway,26026,148290
2020Q4,S08000017,Y146H,Rural,Emergency Inpatients,Endocrinology & Diabetes,5,8,30,Dumfries and Galloway,25679,148290
2021Q1,S08000017,Y146H,Rural,Emergency Inpatients,Endocrinology & Diabetes,5,9,37,Dumfries and Galloway,23420,148290
2021Q3,S08000017,Y146H,Rural,Emergency Inpatients,Endocrinology & Diabetes,0,0,30,Dumfries and Galloway,25834,148290
2020Q2,S08000017,Y146H,Rural,Emergency Inpatients,Gastroenterology,0,5,84,Dumfries and Galloway,18643,148290
2020Q3,S08000017,Y146H,Rural,Emergency Inpatients,Gastroenterology,0,0,97,Dumfries and Galloway,26026,148290
2021Q2,S08000017,Y146H,Rural,Emergency Inpatients,Gastroenterology,5,15,63,Dumfries and Galloway,24302,148290
2020Q1,S08000017,Y146H,Rural,Emergency Inpatients,Geriatric Medicine,15,200,398,Dumfries and Galloway,29251,148290
2020Q2,S08000017,Y146H,Rural,Emergency Inpatients,Geriatric Medicine,5,22,362,Dumfries and Galloway,18643,148290
2020Q3,S08000017,Y146H,Rural,Emergency Inpatients,Geriatric Medicine,12,109,370,Dumfries and Galloway,26026,148290
2020Q4,S08000017,Y146H,Rural,Emergency Inpatients,Geriatric Medicine,10,100,259,Dumfries and Galloway,25679,148290
2021Q1,S08000017,Y146H,Rural,Emergency Inpatients,Geriatric Medicine,10,54,335,Dumfries and Galloway,23420,148290
2021Q2,S08000017,Y146H,Rural,Emergency Inpatients,Geriatric Medicine,22,99,356,Dumfries and Galloway,24302,148290
2021Q3,S08000017,Y146H,Rural,Emergency Inpatients,Geriatric Medicine,13,158,260,Dumfries and Galloway,25834,148290
2020Q1,S08000017,Y146H,Rural,Emergency Inpatients,Renal Medicine,0,0,5,Dumfries and Galloway,29251,148290
2020Q2,S08000017,Y146H,Rural,Emergency Inpatients,Renal Medicine,0,0,0,Dumfries and Galloway,18643,148290
2020Q3,S08000017,Y146H,Rural,Emergency Inpatients,Renal Medicine,5,18,40,Dumfries and Galloway,26026,148290
2020Q4,S08000017,Y146H,Rural,Emergency Inpatients,Renal Medicine,5,19,50,Dumfries and Galloway,25679,148290
2021Q1,S08000017,Y146H,Rural,Emergency Inpatients,Renal Medicine,5,15,35,Dumfries and Galloway,23420,148290
2021Q2,S08000017,Y146H,Rural,Emergency Inpatients,Renal Medicine,5,45,50,Dumfries and Galloway,24302,148290
2021Q3,S08000017,Y146H,Rural,Emergency Inpatients,Renal Medicine,5,95,40,Dumfries and Galloway,25834,148290
2020Q1,S08000017,Y146H,Rural,Emergency Inpatients,Palliative Medicine,15,283,48,Dumfries and Galloway,29251,148290
2020Q2,S08000017,Y146H,Rural,Emergency Inpatients,Palliative Medicine,5,16,15,Dumfries and Galloway,18643,148290
2020Q3,S08000017,Y146H,Rural,Emergency Inpatients,Palliative Medicine,14,114,45,Dumfries and Galloway,26026,148290
2020Q4,S08000017,Y146H,Rural,Emergency Inpatients,Palliative Medicine,14,302,45,Dumfries and Galloway,25679,148290
2021Q1,S08000017,Y146H,Rural,Emergency Inpatients,Palliative Medicine,21,369,70,Dumfries and Galloway,23420,148290
2021Q2,S08000017,Y146H,Rural,Emergency Inpatients,Palliative Medicine,20,220,60,Dumfries and Galloway,24302,148290
2021Q3,S08000017,Y146H,Rural,Emergency Inpatients,Palliative Medicine,17,187,60,Dumfries and Galloway,25834,148290
2021Q1,S08000017,Y146H,Rural,Emergency Inpatients,Rehabilitation Medicine,0,46,17,Dumfries and Galloway,23420,148290
2021Q3,S08000017,Y146H,Rural,Emergency Inpatients,Rehabilitation Medicine,5,26,14,Dumfries and Galloway,25834,148290
2020Q1,S08000017,Y146H,Rural,Emergency Inpatients,Respiratory Medicine,15,95,334,Dumfries and Galloway,29251,148290
2020Q2,S08000017,Y146H,Rural,Emergency Inpatients,Respiratory Medicine,5,42,241,Dumfries and Galloway,18643,148290
2020Q3,S08000017,Y146H,Rural,Emergency Inpatients,Respiratory Medicine,10,49,209,Dumfries and Galloway,26026,148290
2020Q4,S08000017,Y146H,Rural,Emergency Inpatients,Respiratory Medicine,5,72,258,Dumfries and Galloway,25679,148290
2021Q1,S08000017,Y146H,Rural,Emergency Inpatients,Respiratory Medicine,10,33,278,Dumfries and Galloway,23420,148290
2021Q2,S08000017,Y146H,Rural,Emergency Inpatients,Respiratory Medicine,10,47,259,Dumfries and Galloway,24302,148290
2021Q3,S08000017,Y146H,Rural,Emergency Inpatients,Respiratory Medicine,5,55,144,Dumfries and Galloway,25834,148290
2020Q1,S08000017,Y146H,Rural,Emergency Inpatients,General Surgery,641,383,712,Dumfries and Galloway,29251,148290
2020Q2,S08000017,Y146H,Rural,Emergency Inpatients,General Surgery,476,862,526,Dumfries and Galloway,18643,148290
2020Q3,S08000017,Y146H,Rural,Emergency Inpatients,General Surgery,683,1087,744,Dumfries and Galloway,26026,148290
2020Q4,S08000017,Y146H,Rural,Emergency Inpatients,General Surgery,679,219,742,Dumfries and Galloway,25679,148290
2021Q1,S08000017,Y146H,Rural,Emergency Inpatients,General Surgery,546,233,627,Dumfries and Galloway,23420,148290
2021Q2,S08000017,Y146H,Rural,Emergency Inpatients,General Surgery,749,284,845,Dumfries and Galloway,24302,148290
2021Q3,S08000017,Y146H,Rural,Emergency Inpatients,General Surgery,718,334,807,Dumfries and Galloway,25834,148290
2020Q1,S08000017,Y146H,Rural,Emergency Inpatients,Anaesthetics,5,6,10,Dumfries and Galloway,29251,148290
2020Q2,S08000017,Y146H,Rural,Emergency Inpatients,Anaesthetics,11,7,19,Dumfries and Galloway,18643,148290
2020Q3,S08000017,Y146H,Rural,Emergency Inpatients,Anaesthetics,5,12,10,Dumfries and Galloway,26026,148290
2020Q4,S08000017,Y146H,Rural,Emergency Inpatients,Anaesthetics,10,33,13,Dumfries and Galloway,25679,148290
2021Q1,S08000017,Y146H,Rural,Emergency Inpatients,Anaesthetics,15,54,25,Dumfries and Galloway,23420,148290
2021Q2,S08000017,Y146H,Rural,Emergency Inpatients,Anaesthetics,20,46,24,Dumfries and Galloway,24302,148290
2021Q3,S08000017,Y146H,Rural,Emergency Inpatients,Anaesthetics,15,42,20,Dumfries and Galloway,25834,148290
2020Q1,S08000017,Y146H,Rural,Emergency Inpatients,"Ear, Nose & Throat (ENT)",30,46,29,Dumfries and Galloway,29251,148290
2020Q2,S08000017,Y146H,Rural,Emergency Inpatients,"Ear, Nose & Throat (ENT)",14,19,14,Dumfries and Galloway,18643,148290
2020Q3,S08000017,Y146H,Rural,Emergency Inpatients,"Ear, Nose & Throat (ENT)",15,28,20,Dumfries and Galloway,26026,148290
2020Q4,S08000017,Y146H,Rural,Emergency Inpatients,"Ear, Nose & Throat (ENT)",25,30,28,Dumfries and Galloway,25679,148290
2021Q1,S08000017,Y146H,Rural,Emergency Inpatients,"Ear, Nose & Throat (ENT)",25,53,28,Dumfries and Galloway,23420,148290
2021Q2,S08000017,Y146H,Rural,Emergency Inpatients,"Ear, Nose & Throat (ENT)",25,45,26,Dumfries and Galloway,24302,148290
2021Q3,S08000017,Y146H,Rural,Emergency Inpatients,"Ear, Nose & Throat (ENT)",25,75,30,Dumfries and Galloway,25834,148290
2020Q1,S08000017,Y146H,Rural,Emergency Inpatients,Ophthalmology,5,23,5,Dumfries and Galloway,29251,148290
2020Q2,S08000017,Y146H,Rural,Emergency Inpatients,Ophthalmology,5,13,5,Dumfries and Galloway,18643,148290
2020Q3,S08000017,Y146H,Rural,Emergency Inpatients,Ophthalmology,0,29,0,Dumfries and Galloway,26026,148290
2020Q4,S08000017,Y146H,Rural,Emergency Inpatients,Ophthalmology,5,15,5,Dumfries and Galloway,25679,148290
2021Q1,S08000017,Y146H,Rural,Emergency Inpatients,Ophthalmology,0,9,0,Dumfries and Galloway,23420,148290
2021Q2,S08000017,Y146H,Rural,Emergency Inpatients,Ophthalmology,5,13,5,Dumfries and Galloway,24302,148290
2021Q3,S08000017,Y146H,Rural,Emergency Inpatients,Ophthalmology,5,0,5,Dumfries and Galloway,25834,148290
2020Q1,S08000017,Y146H,Rural,Emergency Inpatients,Trauma and Orthopaedic Surgery,309,1933,327,Dumfries and Galloway,29251,148290
2020Q2,S08000017,Y146H,Rural,Emergency Inpatients,Trauma and Orthopaedic Surgery,252,1583,262,Dumfries and Galloway,18643,148290
2020Q3,S08000017,Y146H,Rural,Emergency Inpatients,Trauma and Orthopaedic Surgery,316,1811,336,Dumfries and Galloway,26026,148290
2020Q4,S08000017,Y146H,Rural,Emergency Inpatients,Trauma and Orthopaedic Surgery,315,1995,337,Dumfries and Galloway,25679,148290
2021Q1,S08000017,Y146H,Rural,Emergency Inpatients,Trauma and Orthopaedic Surgery,322,1826,323,Dumfries and Galloway,23420,148290
2021Q2,S08000017,Y146H,Rural,Emergency Inpatients,Trauma and Orthopaedic Surgery,380,1939,398,Dumfries and Galloway,24302,148290
2021Q3,S08000017,Y146H,Rural,Emergency Inpatients,Trauma and Orthopaedic Surgery,382,2586,394,Dumfries and Galloway,25834,148290
2020Q1,S08000017,Y146H,Rural,Emergency Inpatients,Urology,5,19,53,Dumfries and Galloway,29251,148290
2020Q2,S08000017,Y146H,Rural,Emergency Inpatients,Urology,5,5,29,Dumfries and Galloway,18643,148290
2020Q3,S08000017,Y146H,Rural,Emergency Inpatients,Urology,0,0,35,Dumfries and Galloway,26026,148290
2020Q4,S08000017,Y146H,Rural,Emergency Inpatients,Urology,5,5,30,Dumfries and Galloway,25679,148290
2021Q1,S08000017,Y146H,Rural,Emergency Inpatients,Urology,5,0,26,Dumfries and Galloway,23420,148290
2021Q2,S08000017,Y146H,Rural,Emergency Inpatients,Urology,5,0,32,Dumfries and Galloway,24302,148290
2021Q3,S08000017,Y146H,Rural,Emergency Inpatients,Urology,10,5,50,Dumfries and Galloway,25834,148290
2020Q1,S08000017,Y146H,Rural,Emergency Inpatients,Haematology,5,6,38,Dumfries and Galloway,29251,148290
2020Q2,S08000017,Y146H,Rural,Emergency Inpatients,Haematology,5,0,35,Dumfries and Galloway,18643,148290
2020Q3,S08000017,Y146H,Rural,Emergency Inpatients,Haematology,0,60,33,Dumfries and Galloway,26026,148290
2020Q4,S08000017,Y146H,Rural,Emergency Inpatients,Haematology,5,5,42,Dumfries and Galloway,25679,148290
2021Q2,S08000017,Y146H,Rural,Emergency Inpatients,Haematology,5,5,34,Dumfries and Galloway,24302,148290
2021Q3,S08000017,Y146H,Rural,Emergency Inpatients,Haematology,5,10,40,Dumfries and Galloway,25834,148290
2020Q3,S08000017,Y144H,Rural,Emergency Inpatients,General Medicine,0,25,5,Dumfries and Galloway,26026,148290
2020Q1,S08000017,Y144H,Rural,Emergency Inpatients,Geriatric Medicine,15,141,50,Dumfries and Galloway,29251,148290
2020Q2,S08000017,Y144H,Rural,Emergency Inpatients,Geriatric Medicine,20,206,25,Dumfries and Galloway,18643,148290
2020Q3,S08000017,Y144H,Rural,Emergency Inpatients,Geriatric Medicine,5,47,30,Dumfries and Galloway,26026,148290
2020Q4,S08000017,Y144H,Rural,Emergency Inpatients,Geriatric Medicine,5,168,30,Dumfries and Galloway,25679,148290
2021Q1,S08000017,Y144H,Rural,Emergency Inpatients,Geriatric Medicine,20,192,30,Dumfries and Galloway,23420,148290
2020Q1,S08000017,Y144H,Rural,Emergency Inpatients,Palliative Medicine,0,0,5,Dumfries and Galloway,29251,148290
2020Q3,S08000017,Y144H,Rural,Emergency Inpatients,Palliative Medicine,0,7,5,Dumfries and Galloway,26026,148290
2021Q2,S08000017,Y144H,Rural,Emergency Inpatients,Palliative Medicine,0,0,0,Dumfries and Galloway,24302,148290
2020Q1,S08000017,S08000017,Rural,Emergency Inpatients,General Medicine,2236,2467,2322,Dumfries and Galloway,29251,148290
2020Q2,S08000017,S08000017,Rural,Emergency Inpatients,General Medicine,1861,1352,1861,Dumfries and Galloway,18643,148290
2020Q3,S08000017,S08000017,Rural,Emergency Inpatients,General Medicine,2224,2159,2239,Dumfries and Galloway,26026,148290
2020Q4,S08000017,S08000017,Rural,Emergency Inpatients,General Medicine,2179,2016,2210,Dumfries and Galloway,25679,148290
2021Q1,S08000017,S08000017,Rural,Emergency Inpatients,General Medicine,2199,2324,2221,Dumfries and Galloway,23420,148290
2021Q2,S08000017,S08000017,Rural,Emergency Inpatients,General Medicine,2362,2524,2378,Dumfries and Galloway,24302,148290
2021Q3,S08000017,S08000017,Rural,Emergency Inpatients,General Medicine,2197,2849,2217,Dumfries and Galloway,25834,148290
2020Q1,S08000017,S08000017,Rural,Emergency Inpatients,Cardiology,10,45,207,Dumfries and Galloway,29251,148290
2020Q2,S08000017,S08000017,Rural,Emergency Inpatients,Cardiology,5,11,186,Dumfries and Galloway,18643,148290
2020Q3,S08000017,S08000017,Rural,Emergency Inpatients,Cardiology,10,23,220,Dumfries and Galloway,26026,148290
2020Q4,S08000017,S08000017,Rural,Emergency Inpatients,Cardiology,15,29,225,Dumfries and Galloway,25679,148290
2021Q1,S08000017,S08000017,Rural,Emergency Inpatients,Cardiology,10,49,190,Dumfries and Galloway,23420,148290
2021Q2,S08000017,S08000017,Rural,Emergency Inpatients,Cardiology,10,20,237,Dumfries and Galloway,24302,148290
2021Q3,S08000017,S08000017,Rural,Emergency Inpatients,Cardiology,5,15,210,Dumfries and Galloway,25834,148290
2020Q2,S08000017,S08000017,Rural,Emergency Inpatients,Endocrinology & Diabetes,0,0,0,Dumfries and Galloway,18643,148290
2020Q3,S08000017,S08000017,Rural,Emergency Inpatients,Endocrinology & Diabetes,0,5,36,Dumfries and Galloway,26026,148290
2020Q4,S08000017,S08000017,Rural,Emergency Inpatients,Endocrinology & Diabetes,5,8,30,Dumfries and Galloway,25679,148290
2021Q1,S08000017,S08000017,Rural,Emergency Inpatients,Endocrinology & Diabetes,5,9,37,Dumfries and Galloway,23420,148290
2021Q3,S08000017,S08000017,Rural,Emergency Inpatients,Endocrinology & Diabetes,0,0,30,Dumfries and Galloway,25834,148290
2020Q2,S08000017,S08000017,Rural,Emergency Inpatients,Gastroenterology,0,5,84,Dumfries and Galloway,18643,148290
2020Q3,S08000017,S08000017,Rural,Emergency Inpatients,Gastroenterology,0,0,97,Dumfries and Galloway,26026,148290
2021Q2,S08000017,S08000017,Rural,Emergency Inpatients,Gastroenterology,5,15,63,Dumfries and Galloway,24302,148290
2020Q1,S08000017,S08000017,Rural,Emergency Inpatients,Geriatric Medicine,43,728,509,Dumfries and Galloway,29251,148290
2020Q2,S08000017,S08000017,Rural,Emergency Inpatients,Geriatric Medicine,30,317,425,Dumfries and Galloway,18643,148290
2020Q3,S08000017,S08000017,Rural,Emergency Inpatients,Geriatric Medicine,18,194,420,Dumfries and Galloway,26026,148290
2020Q4,S08000017,S08000017,Rural,Emergency Inpatients,Geriatric Medicine,19,310,327,Dumfries and Galloway,25679,148290
2021Q1,S08000017,S08000017,Rural,Emergency Inpatients,Geriatric Medicine,31,246,374,Dumfries and Galloway,23420,148290
2021Q2,S08000017,S08000017,Rural,Emergency Inpatients,Geriatric Medicine,22,99,365,Dumfries and Galloway,24302,148290
2021Q3,S08000017,S08000017,Rural,Emergency Inpatients,Geriatric Medicine,13,158,260,Dumfries and Galloway,25834,148290
2020Q1,S08000017,S08000017,Rural,Emergency Inpatients,Renal Medicine,0,0,5,Dumfries and Galloway,29251,148290
2020Q2,S08000017,S08000017,Rural,Emergency Inpatients,Renal Medicine,0,0,0,Dumfries and Galloway,18643,148290
2020Q3,S08000017,S08000017,Rural,Emergency Inpatients,Renal Medicine,5,18,40,Dumfries and Galloway,26026,148290
2020Q4,S08000017,S08000017,Rural,Emergency Inpatients,Renal Medicine,5,19,50,Dumfries and Galloway,25679,148290
2021Q1,S08000017,S08000017,Rural,Emergency Inpatients,Renal Medicine,5,15,35,Dumfries and Galloway,23420,148290
2021Q2,S08000017,S08000017,Rural,Emergency Inpatients,Renal Medicine,5,45,50,Dumfries and Galloway,24302,148290
2021Q3,S08000017,S08000017,Rural,Emergency Inpatients,Renal Medicine,5,95,40,Dumfries and Galloway,25834,148290
2020Q1,S08000017,S08000017,Rural,Emergency Inpatients,Palliative Medicine,15,283,51,Dumfries and Galloway,29251,148290
2020Q2,S08000017,S08000017,Rural,Emergency Inpatients,Palliative Medicine,15,125,52,Dumfries and Galloway,18643,148290
2020Q3,S08000017,S08000017,Rural,Emergency Inpatients,Palliative Medicine,19,210,57,Dumfries and Galloway,26026,148290
2020Q4,S08000017,S08000017,Rural,Emergency Inpatients,Palliative Medicine,14,302,45,Dumfries and Galloway,25679,148290
2021Q1,S08000017,S08000017,Rural,Emergency Inpatients,Palliative Medicine,21,369,75,Dumfries and Galloway,23420,148290
2021Q2,S08000017,S08000017,Rural,Emergency Inpatients,Palliative Medicine,22,219,60,Dumfries and Galloway,24302,148290
2021Q3,S08000017,S08000017,Rural,Emergency Inpatients,Palliative Medicine,17,187,65,Dumfries and Galloway,25834,148290
2020Q2,S08000017,S08000017,Rural,Emergency Inpatients,Rehabilitation Medicine,0,16,85,Dumfries and Galloway,18643,148290
2021Q1,S08000017,S08000017,Rural,Emergency Inpatients,Rehabilitation Medicine,0,46,41,Dumfries and Galloway,23420,148290
2021Q3,S08000017,S08000017,Rural,Emergency Inpatients,Rehabilitation Medicine,5,26,34,Dumfries and Galloway,25834,148290
2020Q1,S08000017,S08000017,Rural,Emergency Inpatients,Respiratory Medicine,15,95,334,Dumfries and Galloway,29251,148290
2020Q2,S08000017,S08000017,Rural,Emergency Inpatients,Respiratory Medicine,5,42,241,Dumfries and Galloway,18643,148290
2020Q3,S08000017,S08000017,Rural,Emergency Inpatients,Respiratory Medicine,10,49,209,Dumfries and Galloway,26026,148290
2020Q4,S08000017,S08000017,Rural,Emergency Inpatients,Respiratory Medicine,5,72,258,Dumfries and Galloway,25679,148290
2021Q1,S08000017,S08000017,Rural,Emergency Inpatients,Respiratory Medicine,10,33,278,Dumfries and Galloway,23420,148290
2021Q2,S08000017,S08000017,Rural,Emergency Inpatients,Respiratory Medicine,10,47,259,Dumfries and Galloway,24302,148290
2021Q3,S08000017,S08000017,Rural,Emergency Inpatients,Respiratory Medicine,5,55,144,Dumfries and Galloway,25834,148290
2020Q1,S08000017,S08000017,Rural,Emergency Inpatients,General Surgery,641,383,715,Dumfries and Galloway,29251,148290
2020Q2,S08000017,S08000017,Rural,Emergency Inpatients,General Surgery,476,862,525,Dumfries and Galloway,18643,148290
2020Q3,S08000017,S08000017,Rural,Emergency Inpatients,General Surgery,683,1087,746,Dumfries and Galloway,26026,148290
2020Q4,S08000017,S08000017,Rural,Emergency Inpatients,General Surgery,679,219,742,Dumfries and Galloway,25679,148290
2021Q1,S08000017,S08000017,Rural,Emergency Inpatients,General Surgery,546,233,628,Dumfries and Galloway,23420,148290
2021Q2,S08000017,S08000017,Rural,Emergency Inpatients,General Surgery,749,284,846,Dumfries and Galloway,24302,148290
2021Q3,S08000017,S08000017,Rural,Emergency Inpatients,General Surgery,718,334,807,Dumfries and Galloway,25834,148290
2020Q1,S08000017,S08000017,Rural,Emergency Inpatients,Anaesthetics,5,6,10,Dumfries and Galloway,29251,148290
2020Q2,S08000017,S08000017,Rural,Emergency Inpatients,Anaesthetics,11,7,19,Dumfries and Galloway,18643,148290
2020Q3,S08000017,S08000017,Rural,Emergency Inpatients,Anaesthetics,5,12,10,Dumfries and Galloway,26026,148290
2020Q4,S08000017,S08000017,Rural,Emergency Inpatients,Anaesthetics,10,33,13,Dumfries and Galloway,25679,148290
2021Q1,S08000017,S08000017,Rural,Emergency Inpatients,Anaesthetics,15,54,25,Dumfries and Galloway,23420,148290
2021Q2,S08000017,S08000017,Rural,Emergency Inpatients,Anaesthetics,20,46,24,Dumfries and Galloway,24302,148290
2021Q3,S08000017,S08000017,Rural,Emergency Inpatients,Anaesthetics,15,42,20,Dumfries and Galloway,25834,148290
2020Q1,S08000017,S08000017,Rural,Emergency Inpatients,"Ear, Nose & Throat (ENT)",30,46,29,Dumfries and Galloway,29251,148290
2020Q2,S08000017,S08000017,Rural,Emergency Inpatients,"Ear, Nose & Throat (ENT)",14,19,14,Dumfries and Galloway,18643,148290
2020Q3,S08000017,S08000017,Rural,Emergency Inpatients,"Ear, Nose & Throat (ENT)",15,28,20,Dumfries and Galloway,26026,148290
2020Q4,S08000017,S08000017,Rural,Emergency Inpatients,"Ear, Nose & Throat (ENT)",25,30,28,Dumfries and Galloway,25679,148290
2021Q1,S08000017,S08000017,Rural,Emergency Inpatients,"Ear, Nose & Throat (ENT)",25,53,28,Dumfries and Galloway,23420,148290
2021Q2,S08000017,S08000017,Rural,Emergency Inpatients,"Ear, Nose & Throat (ENT)",25,45,26,Dumfries and Galloway,24302,148290
2021Q3,S08000017,S08000017,Rural,Emergency Inpatients,"Ear, Nose & Throat (ENT)",25,75,30,Dumfries and Galloway,25834,148290
2020Q1,S08000017,S08000017,Rural,Emergency Inpatients,Ophthalmology,5,23,5,Dumfries and Galloway,29251,148290
2020Q2,S08000017,S08000017,Rural,Emergency Inpatients,Ophthalmology,5,13,5,Dumfries and Galloway,18643,148290
2020Q3,S08000017,S08000017,Rural,Emergency Inpatients,Ophthalmology,0,29,0,Dumfries and Galloway,26026,148290
2020Q4,S08000017,S08000017,Rural,Emergency Inpatients,Ophthalmology,5,15,5,Dumfries and Galloway,25679,148290
2021Q1,S08000017,S08000017,Rural,Emergency Inpatients,Ophthalmology,0,9,0,Dumfries and Galloway,23420,148290
2021Q2,S08000017,S08000017,Rural,Emergency Inpatients,Ophthalmology,5,13,5,Dumfries and Galloway,24302,148290
2021Q3,S08000017,S08000017,Rural,Emergency Inpatients,Ophthalmology,5,0,5,Dumfries and Galloway,25834,148290
2020Q1,S08000017,S08000017,Rural,Emergency Inpatients,Trauma and Orthopaedic Surgery,309,1933,328,Dumfries and Galloway,29251,148290
2020Q2,S08000017,S08000017,Rural,Emergency Inpatients,Trauma and Orthopaedic Surgery,252,1583,260,Dumfries and Galloway,18643,148290
2020Q3,S08000017,S08000017,Rural,Emergency Inpatients,Trauma and Orthopaedic Surgery,316,1811,337,Dumfries and Galloway,26026,148290
2020Q4,S08000017,S08000017,Rural,Emergency Inpatients,Trauma and Orthopaedic Surgery,315,1995,338,Dumfries and Galloway,25679,148290
2021Q1,S08000017,S08000017,Rural,Emergency Inpatients,Trauma and Orthopaedic Surgery,322,1826,323,Dumfries and Galloway,23420,148290
2021Q2,S08000017,S08000017,Rural,Emergency Inpatients,Trauma and Orthopaedic Surgery,380,1939,398,Dumfries and Galloway,24302,148290
2021Q3,S08000017,S08000017,Rural,Emergency Inpatients,Trauma and Orthopaedic Surgery,382,2586,394,Dumfries and Galloway,25834,148290
2020Q1,S08000017,S08000017,Rural,Emergency Inpatients,Urology,5,19,53,Dumfries and Galloway,29251,148290
2020Q2,S08000017,S08000017,Rural,Emergency Inpatients,Urology,5,5,29,Dumfries and Galloway,18643,148290
2020Q3,S08000017,S08000017,Rural,Emergency Inpatients,Urology,0,0,35,Dumfries and Galloway,26026,148290
2020Q4,S08000017,S08000017,Rural,Emergency Inpatients,Urology,5,5,30,Dumfries and Galloway,25679,148290
2021Q1,S08000017,S08000017,Rural,Emergency Inpatients,Urology,5,0,26,Dumfries and Galloway,23420,148290
2021Q2,S08000017,S08000017,Rural,Emergency Inpatients,Urology,5,0,32,Dumfries and Galloway,24302,148290
2021Q3,S08000017,S08000017,Rural,Emergency Inpatients,Urology,10,5,50,Dumfries and Galloway,25834,148290
2020Q1,S08000017,S08000017,Rural,Emergency Inpatients,Haematology,5,6,38,Dumfries and Galloway,29251,148290
2020Q2,S08000017,S08000017,Rural,Emergency Inpatients,Haematology,5,0,35,Dumfries and Galloway,18643,148290
2020Q3,S08000017,S08000017,Rural,Emergency Inpatients,Haematology,0,60,33,Dumfries and Galloway,26026,148290
2020Q4,S08000017,S08000017,Rural,Emergency Inpatients,Haematology,5,5,42,Dumfries and Galloway,25679,148290
2021Q2,S08000017,S08000017,Rural,Emergency Inpatients,Haematology,5,5,34,Dumfries and Galloway,24302,148290
2021Q3,S08000017,S08000017,Rural,Emergency Inpatients,Haematology,5,10,40,Dumfries and Galloway,25834,148290
2020Q1,S08000029,S08000029,Urban,Emergency Inpatients,General Medicine,4420,3589,4462,Fife,55447,374130
2020Q2,S08000029,S08000029,Urban,Emergency Inpatients,General Medicine,3274,2135,3311,Fife,38828,374130
2020Q3,S08000029,S08000029,Urban,Emergency Inpatients,General Medicine,3975,2786,4020,Fife,46728,374130
2020Q4,S08000029,S08000029,Urban,Emergency Inpatients,General Medicine,4016,3539,4054,Fife,49419,374130
